PromedionaSueldos;target;No_Radicacion;FechaCreacion;Id_Tramite;Tramite;id_TipoLiquidacion;TipoLiquidacion;Id_Instancia;Instancia;TiemposPublicos;Id_TipoDoc;Documento;CodigoDane;Id_TipoDeSolicitante;TipoDeSolicitante;Id_Origen;Origen;Id_proceso_Entrada;proceso_Entrada;Id_Oficina;Oficina
1,08;CANDIDATOnaAUTOMATICO;2019_12712755_6;44917;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;54001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;18;OFICINAnaSECCIONALnaAnaCUCUTA
7,6;CANDIDATOnaAUTOMATICO;2019_13696247_6;44974;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;25754;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;44;OFICINAnaSECCIONALnaBnaSOACHA
6,9;CANDIDATOnaAUTOMATICO;2019_14061210_9;43755;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;85001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
15,6;CANDIDATOnaAUTOMATICO;2019_14106874_6;44952;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
6,5;CANDIDATOnaAUTOMATICO;2019_14632932_6;45006;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;13;OFICINAnaSECCIONALnaAnaCALInaNORTE
3,9;CANDIDATOnaAUTOMATICO;2019_2657338_6;44963;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;52001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;22;OFICINAnaSECCIONALnaAnaPASTO
8,1;CANDIDATOnaAUTOMATICO;2019_3898999_6;44858;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
10,7;CANDIDATOnaAUTOMATICO;2019_4536842_9_6;44918;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76364;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;14;OFICINAnaSECCIONALnaAnaCALInaSUR
7,7;CANDIDATOnaAUTOMATICO;2019_5301647_6;43707;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;73;REGIONALnaSUR
1,04;CANDIDATOnaAUTOMATICO;2019_733386_6;44967;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;52022;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;55;OFICINAnaSECCIONALnaCnaIPIALES
15,8;CANDIDATOnaAUTOMATICO;2019_8515674_6;43740;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;19001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;37;OFICINAnaSECCIONALnaBnaPOPAYAN
15,9;CANDIDATOnaAUTOMATICO;2019_8577880_6;43689;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;75;ROTONDAnaDESPACHOSnaJUDICIALES
4,1;CANDIDATOnaAUTOMATICO;2019_8827862_6;44958;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;17001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;4;OFICINAnanaSECCIONALnaAnaMANIZALES
6,3;CANDIDATOnaAUTOMATICO;2019_9957033_6;44995;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5631;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
7,6;CANDIDATOnaAUTOMATICO;2020_10761194_6;44861;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;50001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
2,8;CANDIDATOnaAUTOMATICO;2020_11133243_6;45008;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76892;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;65;PUNTOnaDEnaATENCIÓNnaLOSnaCALI
5,1;CANDIDATOnaAUTOMATICO;2020_11154290_6;44831;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
9,6;CANDIDATOnaAUTOMATICO;2020_11277238_9;44140;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76111;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
1,06;CANDIDATOnaAUTOMATICO;2020_11370833_6;44916;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;17001;18;Terceronaautorizado;1;DianaanaDia;2;Módulonadenaradicación;4;OFICINAnanaSECCIONALnaAnaMANIZALES
2,6;CANDIDATOnaAUTOMATICO;2020_11395030_6;44257;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76109;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;76;ROTONDAnaJURÍDICAnaCALI
9;CANDIDATOnaAUTOMATICO;2020_11422398_6;44946;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
10,2;CANDIDATOnaAUTOMATICO;2020_1191939_9_6;44897;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;50001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
1;CANDIDATOnaAUTOMATICO;2020_13312142_6;44915;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;50001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
1,08;CANDIDATOnaAUTOMATICO;2020_1775503_9_6;43886;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;86001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;58;OFICINAnaSECCIONALnaCnaMOCOA
8,6;CANDIDATOnaAUTOMATICO;2020_2551781_6;44930;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
1;CANDIDATOnaAUTOMATICO;2020_34859_6;44985;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;25754;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;44;OFICINAnaSECCIONALnaBnaSOACHA
4,8;CANDIDATOnaAUTOMATICO;2020_4627583_6;44883;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;25754;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;83;SUPERCADEnaCARRERAna30
4,8;CANDIDATOnaAUTOMATICO;2020_6178912_9;44008;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
1;CANDIDATOnaAUTOMATICO;2020_6198929_10;44008;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
8,8;CANDIDATOnaAUTOMATICO;2020_6379781_9;44015;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;8001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
8,9;CANDIDATOnaAUTOMATICO;2020_6456878_9;44018;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;8001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
8,8;CANDIDATOnaAUTOMATICO;2020_6466492_9;44018;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;8001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
4;CANDIDATOnaAUTOMATICO;2020_8094438_6;44257;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76364;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;76;ROTONDAnaJURÍDICAnaCALI
3,3;CANDIDATOnaAUTOMATICO;2020_8852848_6;44946;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
14;CANDIDATOnaAUTOMATICO;2020_8869374_6;44257;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76520;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;76;ROTONDAnaJURÍDICAnaCALI
5,4;CANDIDATOnaAUTOMATICO;2020_9099246_6;44916;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;20;OFICINAnaSECCIONALnaAnaMEDELLÍNnaSUR
13,7;CANDIDATOnaAUTOMATICO;2021_10079343_6;44981;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;24;OFICINAnaSECCIONALnaAnaPRADOna(ANTERIORnaCEDRITOS)
4,3;CANDIDATOnaAUTOMATICO;2021_10463939_6;44917;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
6,9;CANDIDATOnaAUTOMATICO;2021_10523503_6;44988;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
10,7;CANDIDATOnaAUTOMATICO;2021_10597502_6;44965;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
5,2;CANDIDATOnaAUTOMATICO;2021_10689032_6;44929;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;25290;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;54;OFICINAnaSECCIONALnaCnaFUSAGASUGÁ
5,7;CANDIDATOnaAUTOMATICO;2021_11471754_6;44984;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;13001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;16;OFICINAnaSECCIONALnaAnaCARTAGENA
1;CANDIDATOnaAUTOMATICO;2021_12873612_6;44659;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
1,07;CANDIDATOnaAUTOMATICO;2021_13410551_6;44875;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;20;OFICINAnaSECCIONALnaAnaMEDELLÍNnaSUR
11,6;CANDIDATOnaAUTOMATICO;2021_13493007_6;44860;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
1;CANDIDATOnaAUTOMATICO;2021_14619902_10;44536;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76001;1;Afiliado;3;RadicacionnaManual;4;RadicaciónnaManualnaReconocimiento;1;DIRECCIONnaGENERAL
1,09;CANDIDATOnaAUTOMATICO;2021_14677229_6;44978;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;33;Empleador;1;DianaanaDia;2;Módulonadenaradicación;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
9;CANDIDATOnaAUTOMATICO;2021_15250295_6;44869;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;23001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;35;OFICINAnaSECCIONALnaBnaMONTERÍA
2;CANDIDATOnaAUTOMATICO;2021_15432983_6;44963;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;75;ROTONDAnaDESPACHOSnaJUDICIALES
7,5;CANDIDATOnaAUTOMATICO;2021_15511489_6;44953;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;75;ROTONDAnaDESPACHOSnaJUDICIALES
14,8;CANDIDATOnaAUTOMATICO;2021_1611780_6;44859;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
4,7;CANDIDATOnaAUTOMATICO;2021_2652660_6;44867;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
1;CANDIDATOnaAUTOMATICO;2021_2805638_6;44945;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;64;PUNTOnaDEnaATENCIONnaAnaENVIGADO
1,05;CANDIDATOnaAUTOMATICO;2021_3081277_6;44952;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;19;OFICINAnaSECCIONALnaAnaIBAGUE
1,01;CANDIDATOnaAUTOMATICO;2021_3088336_6;44873;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;50001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
1,08;CANDIDATOnaAUTOMATICO;2021_345361_6;44991;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5837;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;50;OFICINAnaSECCIONALnaCnanaAPARTADÓ
4;CANDIDATOnaAUTOMATICO;2021_3731852_6;44998;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
14,1;CANDIDATOnaAUTOMATICO;2021_3784487_6;44956;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
2,9;CANDIDATOnaAUTOMATICO;2021_3938874_6;44928;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5088;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;5;OFICINAnanaSECCIONALnaBnaMEDELLINnaNORTE
6;CANDIDATOnaAUTOMATICO;2021_4684012_6;45012;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
6,9;CANDIDATOnaAUTOMATICO;2021_4837048_10_6;45015;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
1;CANDIDATOnaAUTOMATICO;2021_4866967_10_6;44992;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76147;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;23;OFICINAnaSECCIONALnaAnaPEREIRA
4,8;CANDIDATOnaAUTOMATICO;2021_5401149_10_6;44946;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;19;OFICINAnaSECCIONALnaAnaIBAGUE
4,3;CANDIDATOnaAUTOMATICO;2021_6338209_6;44938;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
4;CANDIDATOnaAUTOMATICO;2021_6680691_6;45000;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
7,2;CANDIDATOnaAUTOMATICO;2021_7553098_6;44964;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
1;CANDIDATOnaAUTOMATICO;2021_7864236_6;44957;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;47001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;42;OFICINAnaSECCIONALnaBnaSANTAnaMARTA
1,09;CANDIDATOnaAUTOMATICO;2021_8290392;44399;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;33;Empleador;1;DianaanaDia;1;Estandarización;8;OFICINAnaSECCIONALnaAnaBARRANQUILLAnaCENTRO
6,7;CANDIDATOnaAUTOMATICO;2021_8629955_9_6;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76616;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;46;OFICINAnaSECCIONALnaBnaTULUÁ
1;CANDIDATOnaAUTOMATICO;2021_9453719_6;44890;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;66001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;23;OFICINAnaSECCIONALnaAnaPEREIRA
1;CANDIDATOnaAUTOMATICO;2021_9805831_6;44966;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
2;CANDIDATOnaAUTOMATICO;2022_10032835_6;44949;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
